concepto_cleared,categoria,metodo_algoritmo,explicacion
copia llave encendido maletero,Compras Generales,gemini-3.1-flash-lite-preview,"Adquisición de un bien corporal tangible (llave), clasificado como insumo de uso general."
instalacion llanta trasera,Servicios Generales,gemini-3.1-flash-lite-preview,Servicio de mano de obra o instalación técnica de un componente físico.
koraza ladrillo,Compras Generales,gemini-3.1-flash-lite-preview,Compra de producto tangible (posiblemente material o accesorio) de uso general.
gabinete,Compras Generales,gemini-3.1-flash-lite-preview,"Adquisición de un bien tangible, mobiliario o equipo de oficina."
viniltex gris basalto,Compras Generales,gemini-3.1-flash-lite-preview,"Adquisición de insumo tangible, específicamente pintura, clasificado como bien corporal."
disco duro pcie nvme,Compras Generales,gemini-3.1-flash-lite-preview,"Compra de componente electrónico de hardware, clasificado como bien tangible."
mpls intranet local servicio fijo avda cll norte avda cll norte,Servicios Generales,gemini-3.1-flash-lite-preview,Servicio de telecomunicaciones y conectividad no clasificado explícitamente en otras categorías.
sifon botella orinal grival,Compras Generales,gemini-3.1-flash-lite-preview,"Adquisición de repuesto de fontanería, clasificado como bien tangible."
suministro instalacion cinturones seguridad fabricacion caja bateria nissan urvan placas mws,Servicios Generales,gemini-3.1-flash-lite-preview,Operación mixta que combina suministro de bienes con prestación de servicios de instalación y fabricación.
visita mantto preventivo ups mes,Servicios Generales,gemini-3.1-flash-lite-preview,Servicio técnico de mantenimiento preventivo para equipos eléctricos.
accvol tuerca segur rin lujo sail captiva opt ave sprk cruz max onix,Compras Generales,gemini-3.1-flash-lite-preview,"Adquisición de accesorios y repuestos para vehículos, bienes tangibles."
remaches seguridad completo aros emblemas logos barredores,Compras Generales,gemini-3.1-flash-lite-preview,"Adquisición de piezas, accesorios y suministros corporales para vehículos."
clavija polo amp,Compras Generales,gemini-3.1-flash-lite-preview,Compra de componente eléctrico tangible de uso general.
toma aereo polo amp,Compras Generales,gemini-3.1-flash-lite-preview,Compra de componente eléctrico tangible de uso general.
honorarios profesionales mar,Honorarios y Comisiones,gemini-3.1-flash-lite-preview,"Corresponde al pago por servicios profesionales independientes, típicamente de carácter intelectual, prestados por una persona natural o jurídica sin subordinación."
memoria clase trans unidad,Compras Generales,gemini-3.1-flash-lite-preview,"Adquisición de un componente físico o parte tecnológica, categorizada como suministro o insumo general inventariable."
cilindro neumatico secretarial negro,Compras Generales,gemini-3.1-flash-lite-preview,"Adquisición de un repuesto o componente físico para mobiliario o maquinaria, clasificado como suministro de bienes tangibles."
tierra bulto,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de material de insumo físico (tierra) que se clasifica como bien tangible o material de consumo.
palma,Productos agrícolas/pecuarios (sin proceso industrial),gemini-3.1-flash-lite-preview,"Se clasifica como producto agropecuario primario, al referirse al bien vegetal en estado natural."
trabajos,Servicios Generales,gemini-3.1-flash-lite-preview,"El concepto es demasiado genérico y carece de detalles suficientes para asignar una categoría específica, clasificándose provisionalmente en servicios generales."
bound servicios bound pst ivrhoras rda horas edi hora,Servicios Generales,gemini-3.1-flash-lite-preview,"Descripción de servicios tecnológicos o de soporte poco claros, asignados a servicios generales al no especificarse si son consultoría o licenciamiento."
ixora roja,Productos agrícolas/pecuarios (sin proceso industrial),gemini-3.1-flash-lite-preview,"La ixora es una planta/flor, considerada un bien de origen agrícola en estado primario."
suscripcion anual,Servicios Generales,gemini-3.1-flash-lite-preview,"Al ser un concepto ambiguo que puede referirse a diversos servicios no detallados, se clasifica como servicio general."
univ pag corriente domingo,DESCONOCIDO,gemini-3.1-flash-lite-preview,No es posible determinar la naturaleza del gasto o servicio a partir del texto suministrado.
cuenta profirio laudo arbitral pasado mes dentro tramite iniciado consorcio sidecol integrar causa ultimo pago pactado clausula quinta contrato prestacion servicios juridicos celebrado alianza fiduciaria vocera administradora fideicomiso macroproyecto altos santa elena parra rodriguez abogados consultores,Honorarios y Comisiones,gemini-3.1-flash-lite-preview,"Corresponde al pago de servicios jurídicos prestados por abogados, lo cual encaja en honorarios profesionales."
reembolso gastos notariales factura electronica reembolso gastos notariales factura electronica pedido,Reembolso,gemini-3.1-flash-lite-preview,Se trata explícitamente de un reintegro de gastos de terceros (notariales) realizados por cuenta de la empresa.
display aire acondicionado inverter btu,Compras Generales,gemini-3.1-flash-lite-preview,"Compra de un bien tangible, específicamente un repuesto o componente electrónico para equipo de aire acondicionado."
instalacion display sede salomia area caseta servicio cliente,Servicios Generales,gemini-3.1-flash-lite-preview,"Corresponde a la ejecución de un servicio técnico de instalación, no clasificable en consultoría, construcción u otras categorías específicas."
kit uppr housing assy,Compras Generales,gemini-3.1-flash-lite-preview,"Adquisición de piezas o suministros técnicos corporales, clasificados como compra de bienes tangibles."
reparacion tarifa equipo,Servicios Generales,gemini-3.1-flash-lite-preview,Servicio de reparación técnica de equipos que no encaja en una categoría especializada de mantenimiento o construcción.
palma robeline tallo,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de un bien tangible (planta/vegetal) que no corresponde a insumos agrícolas para procesamiento industrial ni alimentos.
urea libra,Compras Generales,gemini-3.1-flash-lite-preview,Compra de insumo químico (fertilizante) clasificado como bien tangible de uso general.
arrendamiento software,Licencia/Derecho de Uso de Software,gemini-3.1-flash-lite-preview,Pago por el derecho de uso o licenciamiento de aplicativos tecnológicos.
unico pago correspondiente contrato correspondiente prestacion servicios profesionales asesoria tecnica economica acompañamiento fideicomiso macroproyecto altos santa elena relacion estructuracion estrategia formulacion pretensiones esgrimirse proceso arreglo directo negociacion consorcio sidecol integrar,Consultoría General/Administración Delegada (PJ),gemini-3.1-flash-lite-preview,Servicio de asesoría técnica y económica y acompañamiento estratégico prestado por entidades jurídicas.
altos santa elena altos santa elena valor correspondiente valor neto pagar arquitectura presentado documentos necesarios liquidacion contrato gerencia integral,Consultoría General/Administración Delegada (PJ),gemini-3.1-flash-lite-preview,"Servicio de gerencia integral de proyectos, asociado a funciones de administración delegada y consultoría de procesos."
cuenta realizo primera audiencia tramite pasado mes dentro tribunal arbitramento iniciado alianza fiduciaria consorcio sidecol integrar causa pago pactado literal clausula quinta contrato prestacion servicios juridicos celebrado alianza fiduciaria vocera administradora fideicomiso macroproyecto altos santa elena parra rodriguez abogados consultores sas,Honorarios y Comisiones,gemini-3.1-flash-lite-preview,"Pago por servicios jurídicos prestados por abogados, considerados honorarios profesionales."
honorarios arbitro tribunal arbitramento macroproyecto altos santa elena sector,Honorarios y Comisiones,gemini-3.1-flash-lite-preview,Retribución económica por la labor profesional e independiente de un árbitro en un tribunal.
altos santa elena altos santa elena valor correspondiente valor neto pagar arquitectura finalizo obras torres contenidas contrato suscrito alianza fiduciaria,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,Ejecución de obras físicas y construcción de torres bajo contrato con entidad contratista.
orden compra periodo facturado mes mes prestación servicios mensuales asesorar acompañar oficina comunicaciones concesión runt gestión comunicaciones internas externas,Consultoría General/Administración Delegada (PJ),gemini-3.1-flash-lite-preview,Servicio de asesoría y acompañamiento profesional para la gestión de comunicaciones corporativas.
mantenimiento preventivo rutina incluye revision niveles fuerza inspeccion general incluye reemplazo filtros cambio aceite fabrica recomienda vez año planta uso mas horas,Servicios Generales,gemini-3.1-flash-lite-preview,"Mantenimiento preventivo de maquinaria que no se clasifica en servicios específicos de vigilancia, aseo o construcción."
mantenimiento preventivo sistema incendio deteccion alarma extincion incluye revision circuitos entrada salidas vac vcd revision electrico mecanico verificacion sistema extincion agente limpio,Servicios Generales,gemini-3.1-flash-lite-preview,"Mantenimiento técnico de sistemas de seguridad (incendio) que, al no ser vigilancia física, entra como servicio general."
mantenimiento preventivo solucion control acceso instalado centro computo alterno rutn puertas,Servicios Generales,gemini-3.1-flash-lite-preview,"Mantenimiento técnico de equipos de control de acceso, clasificado como servicio general."
mantenimiento preventivo sistema cctv compuesto dvr marca dahu canales siete camaras,Servicios Generales,gemini-3.1-flash-lite-preview,"Mantenimiento técnico de sistemas de CCTV, clasificado como servicio general al no ser servicio de vigilancia humana."
orden compra periodo facturado mes mes realizacion dos videos institucionales comunicacion externa video lanzamiento sede electronica video instructivo sede electronica ciudadano,Servicios Generales,gemini-3.1-flash-lite-preview,"Servicio de producción audiovisual, clasificado como servicio general al no encajar en consultoría ni honorarios profesionales específicos."
realizacion video institucional comunicacion interna perfil robinson guerrero cobro correspondiente valor producto,Honorarios y Comisiones,gemini-3.1-flash-lite-preview,"Corresponde a la prestación de un servicio intelectual o técnico por un profesional independiente, sin subordinación laboral."
diseño material pop navidad año,Honorarios y Comisiones,gemini-3.1-flash-lite-preview,El diseño gráfico y creativo es una labor de carácter intelectual prestada por profesionales independientes o empresas de diseño.
tarjetas navideñas sobres,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de bienes tangibles y materiales (papelería) sin procesamiento industrial ni clasificación específica en otras categorías.
calendarios runt,Compras Generales,gemini-3.1-flash-lite-preview,Compra de bienes corporales tangibles (calendarios) destinados al uso o distribución general.
linterna dinamo,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de un bien material tangible (herramienta) para uso general.
gasa esteril paq,Compras Generales,gemini-3.1-flash-lite-preview,"Compra de bienes materiales e insumos; no constituye una prestación de servicios de salud, sino la adquisición del producto físico."
micropore color piel,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de un bien material (insumo médico) para uso general.
aplicador madera paq,Compras Generales,gemini-3.1-flash-lite-preview,Compra de insumo físico tangible de uso general.
bajalenguas madera paq,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de un bien material tangible de uso general.
orden compra prestacion servicios desarrollo contenido multimedia institucional learning transforma enfocado tema centros enseñanza automovilistica cea runtpro servicios especificos factura corresponden recoleccion analisis informacion diseño instruccional preproduccion produccion relacion cliente entrega producto satisfaccion,Consultoría General/Administración Delegada (PJ),gemini-3.1-flash-lite-preview,"Servicios de consultoría y desarrollo de procesos estratégicos, organizacionales o de contenido, prestados por una entidad especializada."
acta parcial contrato interventoria “interventoria tecnica administrativa financiera juridica ambiental contrato obra comprenden elaboracion diseños estudios tecnicos obtencion licencias construccion cualquiera modalidades licencias urbanismo junto permisos aprobaciones necesarias obras institucion educativa siete mes sede principal ubicada municipio,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,"Servicio de supervisión técnica, administrativa y jurídica sobre proyectos de infraestructura educativa."
acta parcial institucion educativa junin sede principal primaria providencia mes mes,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,Pago derivado de la ejecución de obra civil en infraestructura educativa; corresponde a un avance de construcción.
supervision tecnica independiente contrato mes jul dpto bolivar cartagena,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,Servicio profesional de supervisión técnica sobre obras o proyectos de infraestructura.
antonio jose sucre sede principal objeto contrato realizar interventoria tecnica administrativa financiera juridica ambiental contrato obra comprenden elaboracion diseños estudios tecnicos obtencion licencias construccion cualquiera modalidades licencias urbanismo junto permisos aprobaciones necesarias obras institucion educativa antonio jose sucre sede principal buenaventura departamento valle cauca requeridos fondo financiamiento infraestructura educativa adelante ffie desarrollo plan nacional infraestructura educativa pnie,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,"Servicios especializados de interventoría en proyectos de infraestructura educativa, incluyendo aspectos técnicos y legales."
interventoria tecnica administrativa financiera juridica ambiental contrato obra comprenden obra necesarios mejoramiento residencias escolares sedes instituciones educativasi promocion indig iea rincon socorro promocion indig iea pudi indigena iea pudi miralindo union miralindo miralindo algarrobo algarrobo algarrobo colonia luis carlos galan sarmiento territorio nacional municipio orocue casanare acta comprendida periodo mes mes,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,Servicio de interventoría técnica y administrativa para obras de mejoramiento en infraestructura escolar.
interventoria tecnica administrativa financiera juridica ambiental contrato obra comprenden obra necesarios mejoramiento,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,"Se refiere a servicios de supervisión técnica y administrativa sobre un contrato de obra civil, encajando en interventoría de infraestructura."
interventoria tecnica administrativa financiera juridica ambiental contrato obra comprenden obra necesarios mejoramiento residencias escolares sedes instituciones educativasi promocion indig iea pudi miralindo algarrobo luis carlos galan sarmiento territorio nacional municipio orocue casanare acta comprendida periodo mes mes,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,"Es un servicio de interventoría para infraestructura educativa, clasificable bajo el concepto de interventoría y consultoría de ingeniería."
servicios consultoria ingenieria civil,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,Servicios técnicos especializados de consultoría en el área de ingeniería civil directamente relacionados con el desarrollo de infraestructura.
comprenden elaboracion diseños estudios tecnicos ejecucion obras necesarias adecuacion mejoramiento instituciones educativas ubicad,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,Incluye explícitamente la ejecución de obras civiles necesarias para la adecuación y mejoramiento de infraestructura física educativa.
cobro costo variable segun acta parcial obra modificacion periodo mes mes,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,Los cobros derivados de actas parciales por avance de obra corresponden directamente a la ejecución de contratos de construcción.
comprenden elaboracion diseños estudios tecnicos ejecucion obras necesarias adecuacion mejoramiento instituciones educativas ubicadas zona estrategica intervencion integral zeii zona pacifico catatumbo priorizadas fondo definanciamiento infraestructura educativa ffie marco acuerdo financiacion suscrito fondo paz siguientes sedes cer pto barco linda infancia cer pto barco pto barco cer serpentina cer ptobarco caño guaduas cer laserpentina fineria ubicadas munipio tibu cobro parcial costo variable segun acta parcial obra,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,"El concepto describe la ejecución material de obras de adecuación y mejoramiento de infraestructura, facturadas mediante acta parcial de obra."
pago acta parcial correspondiente pago mensual periodo pago mensual mes mes mes mes segun contrato interventoria cuyo objeto realizar interventoria tecnica administrativa financiera juridica ambiental contrato obra grupo referencia caqueta comprenden obra necesarios mejoramiento residencias escolares sedes instituciones educativas territorio nacional indigena coemani fortunato really indigena fortunato really solano indigena mama bwe reojache mama bwe reojache milan indigena coreguaje indigena coreguaje solano indigena coemani fortunato really ismuina solano indigena mama bwe reojache indigena jacome milan indigena mama bwe reojache indigena,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,"El objeto contractual principal es la interventoría técnica y administrativa sobre un contrato de obra, clasificable en interventoría de ingeniería."
pago acta parcial correspondiente pago variable avance obra correspondiente periodo pago mensual mes mes mes mes mes mes segun contrato interventoria cuyo objeto realizar interventoria tecnica administrativa financiera juridica ambiental contrato obra grupo referencia caqueta comprenden obra necesarios mejoramiento residencias escolares sedes instituciones educativas territorio nacional indigena coemani fortunato really indigena fortunato really solano indigena mama bwe reojache mama bwe reojache milan indigena coreguaje indigena coreguaje solano indigena coemani fortunato really ismuina solano indigena mama bwe,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,"Pago por servicios de interventoría técnica, administrativa y financiera sobre contratos de infraestructura escolar, clasificable en interventoría de ingeniería."
acta parcial obra servicio presta enmunicipio plata departamento huila sedes institucion educativa misael pastrana plata huila institucion educativa tecnico agricola plata huila institucion educativa san vicente brisas plata huila institucion educativa villa andes plata huila institucion educativa ana elisa cuenca yaguara huila institucion educativa carmelo plata huila periodo sept sept,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,"Corresponde al cobro por ejecución de obra civil en instituciones educativas, facturado a través de un acta parcial de obra."
imprevistos acta parcial obra sede nino jesus praga municipio san pedro,Contratos de construcción y urbanización,KEYWORD,
utilidad acta parcial obra sede nino jesus praga municipio san pedro,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,El cobro de utilidad sobre una obra ejecutada es un componente inherente a la facturación de contratos de construcción y urbanización.
decimo octavo pago mensual contrato interventoria institucion educativa bonavista servicio prestado ciudad bogota acta parcial periodo mes mes,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,"El pago corresponde específicamente a un contrato de interventoría de obra de infraestructura educativa, clasificable en servicios de ingeniería."
obra ejecutada alcance fie rta cie adm contrato obra,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,"El concepto especifica la ejecución de obra civil, lo cual se clasifica directamente dentro de los contratos de construcción y urbanización."
ctto obra grupo ref cauca comprenden obra necesarios mejoramiento residencias escolares sedes instituciones educativas territorio nacion,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,"Se trata de un contrato de obra para el mejoramiento y adecuación de infraestructura escolar, clasificable en contratos de construcción y urbanización."
cobro costo variable segun ata parcial obra,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,"Facturación por avance de obra civil (acta parcial), lo que corresponde a la ejecución de contratos de construcción."
cobro costo variablesegun ata parcial obra modificacion,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,"Facturación por concepto de avance o ejecución de obra civil, tipificado dentro de la categoría de contratos de construcción y urbanización."
ctto obra grupo ref cauca comprenden obra necesarios mejoramiento residencias escolares sedes instituciones educativas territorio nacional cobro parcial costo fijo periodo mes mes mes servicio presta siguientes instituciones educativas municipios piagua tamboi capitan bermudez patia agricola israel maria narvaez mercaderesi huisito tamboi agricola camilo torres patiai olaya balboai miguel zapata argelia mojarras mercaderes,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,"El objeto es la ejecucion de obras de mejoramiento en infraestructura educativa, lo cual se clasifica bajo contratos de construccion y urbanizacion."
interventoria tecnica pagos variables contrato interventoria avance obra valor fase contrato interventoria lugar presta servicio jose joaquin florez sede nueva arboleda campestre favor realizar transferencia electronica consignacion cuenta ahorros banco pichincha nombre consorcio inter ffie nit acta parcial actividades realizadas mes mes,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,Corresponde a servicios de supervisión técnica sobre contratos de obra civil en proyectos de infraestructura educativa.
interventoria tecnica pago mensual contrato interventoria contrato interventoria lugar presta servicio joaquin paris sede principal favor realizar transferencia electronica consignacion cuenta ahorros banco pichincha nombre consorcio inter ffie nit acta parcial actividades realizadas setiembe,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,Servicio de interventoria tecnica para el seguimiento y control de proyectos de infraestructura educativa.
interventoria tecnica pagos variables contrato interventoria avance obra valor fase contrato interventoria lugar presta servicio joaquin paris sede principal favor realizar transferencia electronica consignacion cuenta ahorros banco pichincha nombre consorcio inter ffie nit acta parcial actividades realizadas setiembe,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,"Servicio de interventoria tecnica sobre contratos de obra civil, conforme a la supervision de proyectos de infraestructura."
pago contrato prestacion servicios profesionales nov prestar servicios profesionales realizar asesoria gestion apoyo acompañamiento direccion tec fife cta ahorros banco bta,Consultoría General/Administración Delegada (PJ),gemini-3.1-flash-lite-preview,"Prestacion de servicios profesionales enfocados en asesoria, gestion y apoyo administrativo o tecnico."
honorarios servicios profesionales contrato pago correspondiente noviembredel,Honorarios y Comisiones,gemini-3.1-flash-lite-preview,Pago por servicios profesionales prestados de forma independiente.
acta final obra tipo correspondiente contrato obra suscrito patrimonio autonomo fondo financiamiento infraestructura educativa ffie consorcio zona educativa objeto pre construccion construccion post construccion aplicacion mejoramiento institucion educativa sabio mutis ddp mes llave men mesa cundinamarca administracion imprevistos utilidad iva utilidad,Contratos de construcción y urbanización,KEYWORD,
acta parcial correspondiente costos fijos periodo costos variables avance obra contrato interventoria servicio prestado institucion educativa union sede principal municipio rio sucio corregimiento belen bajira choco,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,Interventoria tecnica y administrativa de proyectos de infraestructura educativa.
realizar interventoria tecnica administrativa financiera juridica ambiental contrato obra comprenden elaboracion diseños estudios tecnicos obtencion licencias construccion cualquiera modalidades licencias urbanismo junto permisos aprobaciones necesarias obras institucion educativa juan evangelista berrio sede brisas castellana municipio chigorodo antioquia requeridos fondo financiamiento infraestructura educativa adelante ffie desarrollo plan nacional infraestructura educativa pnie costo fijo mensual contrato interventoria acta parcial interventoria costo fijo mensual periodo correspondiente mes mes institucion educativa juan evangelista,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,"Servicios de interventoria integral (tecnica, administrativa, financiera, etc.) para obras de infraestructura educativa."
realizar interventoria tecnica administrativa financiera juridica ambiental contrato obra comprenden elaboracion diseños estudios tecnicos obtencion licencias construccion cualquiera modalidades licencias urbanismo junto permisos aprobaciones necesarias obras institucion educativa eduardo espitia romero municipio necocli antioquia requeridos fondo financiamiento infraestructura educativa adelante ffie desarrollo plan nacional infraestructura educativa pnie costo fijo mensual contrato interventoria acta parcial interventoria costo fijo mensual periodo correspondiente mes mes institucion educativa eduardo espitia romero sede principa,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,Servicios de interventoria integral para obras de infraestructura educativa.
contrato interventoria cuyo objeto realizar interventoria tecnica administrativa financiera juridica ambiental contrato obra comprenden elaboracion diseños estudios tecnicos obtencion licencias construccion cualquiera modalidades licencias urbanismo junto permisos aprobaciones necesarias obras institucion educativa fernando velez sede principal municipio bello antioquia requeridos fondo financiamiento infraestructura educativa adelante ffie desarrollo plan nacional infraestructura educativa pnie costo fijo mensual contrato interventoria acta parcial interventoria costo fijo mensual periodo correspondiente mes mes,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,Servicios de interventoria integral para obras de infraestructura educativa.
acta final ejecutar obras necesarias mejoramiento residencias escolares sedes instituciones educativas territorio nacional priorizados fondo financiamiento infraestructura educativa ffie,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,Acta de finalizacion de ejecucion de obras de infraestructura escolar.
acta contrato obra obras mejoramiento departamental bagazal sede escuela rural higueron villeta departamental bagazal escuela rural alto torres villeta todas departamento cundinamarca,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,Ejecucion de obras civiles de mejoramiento en infraestructura educativa.
pago acta parcial correspondencia periodo mes octubree segun contrato obra cuyo objeto ejecutar obras necesarias mejoramiento residencias escolares sedes instituciones educativas territorio nacional priorizados fondo financiamiento infraestructura educativa ffie departamento atlantico san pedro claver cascajal mcpio sabanalarga leña mcpio candelaria martillo mcpio ponedera tecnica agropecuaria campeche mcpio baranoa tecnica maria inmaculada pital megua mcpio baranoa fruto esperanza mcipio galapa tecnica juan padilla mcipio juan acosta simon bolivar colombia mcipio sabanalarga eustorgio salgar mcipio puerto salgar,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,Pago por ejecucion de obras civiles de mejoramiento en infraestructura educativa.
pago acta parcial correspondiente periodo mes mes segun contrato obra cuyo objeto ejecutar obras necesarias mejoramiento residencias escolares sedes instituciones educativas territorio nacional priorizados fondo financiamiento infraestructura educativa ffie pbro antonio jose cadavid don matias salto primavera gom,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,Pago por ejecucion de obras civiles de mejoramiento en infraestructura educativa.
corte liquidacion contrato obra periodo mes mes,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,Liquidacion de contrato asociado a la ejecucion de obras civiles.
costo directo acta obra contrato gustavo jimenez sede nueva sogamoso boyaca correspondiente periodo mes mes,Contratos de construcción y urbanización,KEYWORD,
costo directo deobra,Contratos de construcción y urbanización,KEYWORD,
acta correspondiente contrato cuyo objeto ejecutar obra necesarias mejoramiento residencias escolares sedes instituciones educativas territorio nacional priorizados fondo financiamiento infraestructura educativa ffie indigena coemani fortunato really indigena fortunato really indigena mama bwe reojachemama bwe reojache indigena coreguaje indigena coreguaje indigena mama bwe reojache indigena jacome indigena mama bwe reojache indigena hericha avenida carano avenida carano mes mes mes mes mes mes,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,El objeto principal es la ejecución de obras civiles para el mejoramiento de infraestructura física escolar.
contrato obra suscrito patrimonio autonomo fondo financiamiento infraestructura educativa ffie adrian mafioli cia cuyo objeto quot diagnostico actualizacion complementacion elaboracion estudios diseños ejecucion obras necesarias adecuacion mejoramiento mantenimiento correctivo instituciones rurales comedores residencias escolares priorizados fondo financiamiento infraestructura educativa ffie desarrollo pnie quot acta recibo final correspondiente periodo ejecutado mes mes ejecucion instituciones educativas agroambiental pio xii silencio municipio pueblo rico instituto tecnico marillac leona municipio santa rosa cabal instituto guatica simon bolivar laure,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,El contrato se centra en la ejecución de obras civiles de adecuación y mantenimiento de infraestructura educativa.
servicio obra patios,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,Se refiere a la ejecución de trabajos físicos o adecuaciones de obra civil en áreas específicas.
pagos mensuales correspondiente cuarenta ciento valor total contrato interventoria cincuenta ciento avance obra contrato primer pago concepto valor total interventoria avance obra contrato interventoria interventoria tecnica administrativa financiera juridica ambiental contrato obra comprenden elaboracion diseños estudios tecnicos obtencion licencias construccion cualquiera modalidades licencias urbanismo junto permisos aprobaciones necesarias obras instituciones educativas san andres islas departamento archipielago san andres providencia santa catalina requeridos fondo financiamiento infraestructura educativa adelante ffie,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,"El objeto es la prestación de servicios de interventoría técnica, administrativa y financiera sobre un contrato de obra."
acta parcial contrato cuyo objeto realizar interventoria tecnica administrativa financiera juridica ambiental contrato obra grupo santander comprenden obra necesarios mejoramiento residencias escolares sedes instituciones educativas territorio nacional acuerdo especificaciones contenidas presente documento propuesta condiciones participacion contractuales modificaciones anexos presente requeridos fondo financiamiento infraestructura educativa desarrollo plan nacional infraestructura educativa acuerdo especificaciones contenidas presente documento propuesta condiciones participacion contractuales modificaciones anexos presente contrato rural vijagual rural,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,Corresponde al cobro por servicios de interventoría técnica sobre la ejecución de obras de infraestructura educativa.
comprenden elaboracion diseños estudios tecnicos ejecucion obras necesarias adecuacion mejoramiento instituciones educativas ubicadas zona estrategica intervencion integral zeii zona pacifico catatumbo priorizadas fondo definanciamiento infraestructura educativa ffie marco acuerdo financiacion suscrito fondo paz siguientes sedes cer pto barco linda infancia cer pto barco pto barco cer serpentina cer ptobarco caño guaduas cer laserpentina fineriacobro parcial costo variable segun acta parcial obra,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,Se trata de un contrato enfocado en la ejecución de obras civiles y mejoramiento de infraestructura física.
cobro costo variable segun acta parcial obra modificacion,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,"El costo variable está vinculado a la ejecución física de obras, clasificándose como contrato de construcción."
pago acta parcial correspondiente pago mensual costos variables correspondiente periodo pago mensual mes mes segun contrato interventoria cuyo objeto realizar interventoria tecnica administrativa financiera juridica ambiental contrato obra comprenden obra necesarios mejoramiento residencias escolares sedes deinstituciones educativas territorio nacional simon bolivar trinidad doncello simon bolivar arenosa doncello puerto manrique puerto manrique doncello simon bolivar tigrera dondello santa teresa santa teresa paujil rafael uribe uribe rafael uribe uribe paujil santa teresa puente albania paujil santander sant,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,El servicio prestado es la interventoría sobre la ejecución de obras de infraestructura escolar.
reembolso gastos viaje bogota boavita panqueva bogota,Reembolso,gemini-3.1-flash-lite-preview,Corresponde a la devolución de gastos de viaje y viáticos incurridos por un tercero.
